,Unnamed: 0,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
942,942,33.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,5000.0,de 4 a 6 anos,Branca,Sudeste
943,943,34.0,Masculino,,,,22500.0,Mais de 10 anos,Branca,Desconhecida
944,944,28.0,Feminino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca,Sudeste
945,945,34.0,Masculino,Rio Grande do Sul (RS),,,27500.0,de 4 a 6 anos,Branca,Sul
946,946,,,,,,,,,Desconhecida
947,947,50.0,Masculino,Rio de Janeiro (RJ),Cientista de dados,Sênior,22500.0,Mais de 10 anos,Parda,Sudeste
948,948,30.0,Feminino,Minas Gerais (MG),,,,,Branca,Sudeste
949,949,22.0,Masculino,Rio Grande do Sul (RS),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca,Sul
950,950,46.0,Feminino,São Paulo (SP),,,,,Parda,Sudeste
951,951,40.0,Feminino,,,,,,Branca,Desconhecida
952,952,,,,,,,,,Desconhecida
953,953,19.0,Feminino,São Paulo (SP),Analista de Dados,Júnior,1500.0,Até 2 anos,Branca,Sudeste
954,954,31.0,Masculino,Rio Grande do Sul (RS),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Branca,Sul
955,955,23.0,Feminino,Bahia (BA),,,,,Parda,Nordeste
956,956,51.0,Masculino,São Paulo (SP),,,14000.0,Mais de 10 anos,Branca,Sudeste
957,957,26.0,Feminino,Minas Gerais (MG),Outra opção,Júnior,2500.0,Até 2 anos,Parda,Sudeste
958,958,31.0,Masculino,Minas Gerais (MG),,,14000.0,de 4 a 6 anos,Branca,Sudeste
959,959,24.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,5000.0,Até 2 anos,Branca,Sudeste
960,960,27.0,Feminino,São Paulo (SP),Cientista de dados,Pleno,10000.0,de 4 a 6 anos,Parda,Sudeste
961,961,28.0,Masculino,São Paulo (SP),,,,,Branca,Sudeste
962,962,27.0,Feminino,Rio de Janeiro (RJ),Analista de BI,Júnior,1500.0,Até 2 anos,Preta,Sudeste
963,963,23.0,Feminino,Rio Grande do Sul (RS),Analista de BI,Júnior,3500.0,Até 2 anos,Branca,Sul
964,964,37.0,Masculino,Rondônia (RO),Outra opção,Pleno,2500.0,de 3 a 4 anos,Parda,Norte
965,965,32.0,Feminino,São Paulo (SP),Cientista de dados,Júnior,1500.0,Até 2 anos,Branca,Sudeste
966,966,28.0,Masculino,Minas Gerais (MG),Analista de BI,Sênior,22500.0,de 4 a 6 anos,Não informado,Sudeste
967,967,37.0,Masculino,Ceará (CE),Engenheiro de dados,Sênior,14000.0,Mais de 10 anos,Branca,Nordeste
968,968,36.0,Masculino,São Paulo (SP),,,40000.0,Mais de 10 anos,Branca,Sudeste
969,969,23.0,Masculino,Minas Gerais (MG),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Parda,Sudeste
970,970,37.0,Masculino,São Paulo (SP),,,14000.0,Mais de 10 anos,Branca,Sudeste
